# Time (s),Altitude (m),Vertical velocity (m/s)
0.02,4.514e-4,0.045
0.04,0.007,0.573
0.06,0.028,1.585
0.08,0.075,3.081
0.1,0.156,5.039
0.116,0.25,6.834
0.128,0.339,8.282
0.137,0.425,9.555
0.146,0.51,10.717
0.153,0.594,11.797
0.16,0.677,12.811
0.166,0.76,13.76
0.172,0.843,14.654
0.181,0.977,16.017
0.194,1.2,18.11
0.213,1.587,21.331
0.243,2.284,26.03
0.287,3.579,32.634
0.353,6.019,40.992
0.452,10.57,50.604
0.552,16.103,60.043
0.652,22.583,69.546
0.752,29.992,78.602
0.852,38.281,87.169
0.952,47.416,95.505
1.052,57.374,103.619
1.152,68.129,111.452
1.252,79.653,118.99
1.352,91.917,126.265
1.452,104.896,133.281
1.552,118.566,140.074
1.652,132.902,146.614
1.752,147.867,152.654
1.852,163.412,158.201
1.952,179.501,163.551
2.052,196.095,168.281
2.152,212.89,167.633
2.197,220.308,165.743
2.264,231.26,162.417
2.364,247.261,157.644
2.464,262.797,153.101
2.564,277.889,148.772
2.664,292.558,144.639
2.764,306.823,140.688
2.864,320.701,136.904
2.964,334.209,133.276
3.064,347.361,129.793
3.164,360.172,126.445
3.264,372.654,123.222
3.364,384.82,120.117
3.464,396.681,117.122
3.564,408.248,114.231
3.664,419.53,111.436
3.764,430.538,108.732
3.864,441.28,106.114
3.964,451.764,103.576
4.064,461.997,101.115
4.164,471.989,98.726
4.264,481.745,96.405
4.364,491.272,94.148
4.464,500.577,91.952
4.564,509.664,89.814
4.664,518.541,87.73
4.764,527.212,85.699
4.864,535.683,83.717
4.964,543.957,81.783
5.064,552.041,79.893
5.164,559.937,78.045
5.264,567.651,76.239
5.364,575.186,74.471
5.464,582.546,72.74
5.564,589.735,71.044
5.664,596.756,69.383
5.764,603.613,67.753
5.864,610.308,66.154
5.964,616.845,64.585
6.064,623.226,63.044
6.164,629.455,61.53
6.264,635.533,60.042
6.364,641.464,58.579
6.464,647.249,57.139
6.564,652.892,55.722
6.664,658.395,54.327
6.764,663.758,52.953
6.864,668.986,51.599
6.964,674.079,50.264
7.064,679.039,48.948
7.164,683.869,47.649
7.264,688.57,46.367
7.364,693.143,45.102
7.464,697.591,43.852
7.564,701.914,42.617
7.664,706.115,41.397
7.764,710.194,40.19
7.864,714.153,38.997
7.964,717.994,37.816
8.064,721.717,36.648
8.164,725.324,35.491
8.264,728.815,34.345
8.364,732.193,33.21
8.464,735.458,32.086
8.564,738.611,30.971
8.664,741.652,29.865
8.764,744.584,28.768
8.864,747.406,27.68
8.964,750.12,26.601
9.064,752.727,25.528
9.164,755.226,24.464
9.264,757.62,23.406
9.364,759.908,22.355
9.464,762.091,21.31
9.564,764.17,20.272
9.664,766.145,19.239
9.764,768.018,18.211
9.864,769.788,17.189
9.964,771.456,16.171
10.064,773.022,15.158
10.164,774.488,14.149
10.197,774.952,13.814
10.202,775.021,13.764
10.203,775.035,13.675
10.204,775.049,13.587
10.205,775.062,13.5
10.206,775.076,13.413
10.207,775.09,13.325
10.208,775.104,13.236
10.209,775.118,13.148
10.21,775.132,13.058
10.211,775.146,12.968
10.212,775.161,12.877
10.214,775.176,12.786
10.215,775.191,12.694
10.216,775.206,12.601
10.217,775.221,12.508
10.218,775.237,12.414
10.22,775.253,12.32
10.221,775.269,12.224
10.222,775.285,12.128
10.224,775.301,12.031
10.225,775.318,11.934
10.227,775.335,11.836
10.228,775.352,11.737
10.229,775.369,11.637
10.231,775.387,11.536
10.233,775.404,11.434
10.234,775.422,11.332
10.236,775.441,11.228
10.237,775.459,11.124
10.239,775.478,11.019
